OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
5.231900235039575,4.784042648077957,9.274142880256477,-1.9312001352564039,-10.509224267731042,8.394984106913398,-4.69216000399183,0.6544898896770519,-10.580852117178438,7.92100124465378,ACETONE
6.231900235039575,1.784042648077957,-35.72585711974352,-13.931200135256404,-25.509224267731042,8.394984106913398,-7.69216000399183,5.654489889677052,-17.580852117178438,8.92100124465378,ACETONE
7.231900235039575,1.784042648077957,21.274142880256477,4.068799864743596,-8.509224267731042,12.394984106913398,-2.6921600039918303,5.654489889677052,-21.580852117178438,6.92100124465378,ACETONE
6.231900235039575,2.784042648077957,98.27414288025648,38.068799864743596,-18.509224267731042,6.394984106913398,-3.6921600039918303,5.654489889677052,-13.580852117178438,11.92100124465378,ACETONE
3.231900235039575,2.784042648077957,-19.725857119743523,0.06879986474359612,-9.509224267731042,2.394984106913398,-3.6921600039918303,3.654489889677052,-12.580852117178438,11.92100124465378,ACETONE
-4.768099764960425,-1.215957351922043,71.27414288025648,37.068799864743596,-19.509224267731042,10.394984106913398,-6.69216000399183,7.654489889677052,-17.580852117178438,12.92100124465378,ACETONE
-10.768099764960425,-4.215957351922043,-26.725857119743523,21.068799864743596,-30.509224267731042,27.394984106913398,-6.69216000399183,12.654489889677052,-22.580852117178438,14.92100124465378,ACETONE
-29.768099764960425,-8.215957351922043,-62.72585711974352,21.068799864743596,-29.509224267731042,40.3949841069134,-21.69216000399183,9.654489889677052,-26.580852117178438,17.92100124465378,ACETONE
-42.768099764960425,-10.215957351922043,-4.725857119743523,49.068799864743596,-73.50922426773104,51.3949841069134,-11.69216000399183,11.654489889677052,-29.580852117178438,14.92100124465378,ACETONE
-25.768099764960425,-9.215957351922043,-75.72585711974352,13.068799864743596,-73.50922426773104,62.3949841069134,-17.69216000399183,13.654489889677052,-26.580852117178438,16.92100124465378,ACETONE
-28.768099764960425,-8.215957351922043,-72.72585711974352,22.068799864743596,-92.50922426773104,70.3949841069134,-15.69216000399183,11.654489889677052,-23.580852117178438,15.92100124465378,ACETONE
