OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
-5.086883114207012,-0.6104043690020262,-11.012508941865235,-10.488980287787854,2.8457026567593857,2.390794087623817,12.132833309352463,-1.5876702936559468,-1.078158016938687,0.4420750235287869,NELSEN
-3.086883114207012,-1.6104043690020262,-28.012508941865235,-18.488980287787854,1.8457026567593857,0.3907940876238172,8.132833309352463,-2.587670293655947,-3.078158016938687,-2.557924976471213,NELSEN
-2.086883114207012,1.3895956309979738,-5.012508941865235,-11.488980287787854,1.8457026567593857,3.390794087623817,-3.8671666906475366,5.412329706344053,0.9218419830613129,-1.557924976471213,NELSEN
51.91311688579299,7.389595630997974,-7.012508941865235,-32.488980287787854,-2.1542973432406143,0.3907940876238172,8.132833309352463,-3.587670293655947,4.921841983061313,-2.557924976471213,NELSEN
61.91311688579299,18.389595630997974,12.987491058134765,-39.488980287787854,1.8457026567593857,-4.609205912376183,1.1328333093524634,-9.587670293655947,16.921841983061313,-4.557924976471213,NELSEN
95.91311688579299,27.389595630997974,23.987491058134765,-55.488980287787854,-1.1542973432406143,-16.609205912376183,18.132833309352463,-11.587670293655947,31.921841983061313,-4.557924976471213,NELSEN
130.913116885793,35.389595630997974,27.987491058134765,-77.48898028778785,-1.1542973432406143,-12.609205912376183,32.13283330935246,-10.587670293655947,34.92184198306131,-8.557924976471213,NELSEN
169.913116885793,48.389595630997974,37.987491058134765,-94.48898028778785,-10.154297343240614,-19.609205912376183,43.13283330935246,-22.587670293655947,48.92184198306131,-15.557924976471213,NELSEN
225.913116885793,63.389595630997974,136.98749105813476,-69.48898028778785,-18.154297343240614,-19.609205912376183,48.13283330935246,-26.587670293655947,65.92184198306131,-17.557924976471213,NELSEN
269.913116885793,76.38959563099797,133.98749105813476,-80.48898028778785,-21.154297343240614,-23.609205912376183,67.13283330935246,-26.587670293655947,74.92184198306131,-20.557924976471213,NELSEN
329.913116885793,88.38959563099797,220.98749105813476,-80.48898028778785,-24.154297343240614,-37.60920591237618,68.13283330935246,-35.58767029365595,94.92184198306131,-24.557924976471213,NELSEN
394.913116885793,116.38959563099797,168.98749105813476,-138.48898028778785,-39.154297343240614,-52.60920591237618,75.13283330935246,-42.58767029365595,101.92184198306131,-33.55792497647121,NELSEN
477.913116885793,131.38959563099797,184.98749105813476,-162.48898028778785,-48.154297343240614,-51.60920591237618,100.13283330935246,-46.58767029365595,122.92184198306131,-29.557924976471213,NELSEN
652.913116885793,149.38959563099797,224.98749105813476,-200.48898028778785,-61.154297343240614,-66.60920591237618,110.13283330935246,-52.58767029365595,136.9218419830613,-37.55792497647121,NELSEN
660.913116885793,171.38959563099797,205.98749105813476,-227.48898028778785,-66.15429734324061,-68.60920591237618,127.13283330935246,-55.58767029365595,158.9218419830613,-41.55792497647121,NELSEN
721.913116885793,179.38959563099797,235.98749105813476,-215.48898028778785,-86.15429734324061,-78.60920591237618,134.13283330935246,-58.58767029365595,174.9218419830613,-42.55792497647121,NELSEN
783.913116885793,186.38959563099797,247.98749105813476,-234.48898028778785,-102.15429734324061,-82.60920591237618,140.13283330935246,-58.58767029365595,179.9218419830613,-40.55792497647121,NELSEN
815.913116885793,194.38959563099797,247.98749105813476,-229.48898028778785,-107.15429734324061,-79.60920591237618,136.13283330935246,-64.58767029365595,187.9218419830613,-40.55792497647121,NELSEN
835.913116885793,198.38959563099797,191.98749105813476,-234.48898028778785,-121.15429734324061,-88.60920591237618,136.13283330935246,-65.58767029365595,206.9218419830613,-47.55792497647121,NELSEN
902.913116885793,218.38959563099797,173.98749105813476,-250.48898028778785,-135.15429734324061,-97.60920591237618,152.13283330935246,-71.58767029365595,223.9218419830613,-51.55792497647121,NELSEN
955.913116885793,235.38959563099797,220.98749105813476,-249.48898028778785,-140.15429734324061,-110.60920591237618,158.13283330935246,-71.58767029365595,235.9218419830613,-53.55792497647121,NELSEN
1040.913116885793,248.38959563099797,211.98749105813476,-242.48898028778785,-148.15429734324061,-107.60920591237618,162.13283330935246,-71.58767029365595,247.9218419830613,-51.55792497647121,NELSEN
1072.913116885793,253.38959563099797,189.98749105813476,-252.48898028778785,-160.15429734324061,-115.60920591237618,164.13283330935246,-74.58767029365595,252.9218419830613,-52.55792497647121,NELSEN
1104.913116885793,266.389595630998,246.98749105813476,-222.48898028778785,-173.15429734324061,-115.60920591237618,171.13283330935246,-69.58767029365595,268.9218419830613,-55.55792497647121,NELSEN
1162.913116885793,281.389595630998,248.98749105813476,-235.48898028778785,-163.15429734324061,-128.60920591237618,182.13283330935246,-77.58767029365595,286.9218419830613,-63.55792497647121,NELSEN
1224.913116885793,294.389595630998,253.98749105813476,-253.48898028778785,-182.15429734324061,-141.60920591237618,194.13283330935246,-80.58767029365595,295.9218419830613,-64.55792497647121,NELSEN
1311.913116885793,316.389595630998,276.98749105813476,-316.48898028778785,-179.15429734324061,-137.60920591237618,195.13283330935246,-80.58767029365595,328.9218419830613,-60.55792497647121,NELSEN
1471.913116885793,341.389595630998,343.98749105813476,-321.48898028778785,-182.15429734324061,-162.60920591237618,205.13283330935246,-89.58767029365595,359.9218419830613,-70.55792497647121,NELSEN
1553.913116885793,360.389595630998,377.98749105813476,-351.48898028778785,-184.15429734324061,-171.60920591237618,222.13283330935246,-96.58767029365595,372.9218419830613,-84.55792497647121,NELSEN
1659.913116885793,390.389595630998,401.98749105813476,-383.48898028778785,-188.15429734324061,-181.60920591237618,228.13283330935246,-96.58767029365595,411.9218419830613,-87.55792497647121,NELSEN
1738.913116885793,412.389595630998,441.98749105813476,-404.48898028778785,-193.15429734324061,-188.60920591237618,248.13283330935246,-99.58767029365595,432.9218419830613,-88.55792497647121,NELSEN
1874.913116885793,446.389595630998,514.9874910581348,-441.48898028778785,-191.15429734324061,-206.60920591237618,253.13283330935246,-104.58767029365595,457.9218419830613,-90.55792497647121,NELSEN
1976.913116885793,468.389595630998,565.9874910581348,-466.48898028778785,-189.15429734324061,-209.60920591237618,491.13283330935246,-191.58767029365595,498.9218419830613,-102.55792497647121,NELSEN
2304.913116885793,502.389595630998,611.9874910581348,-534.4889802877879,-192.15429734324061,-222.60920591237618,270.13283330935246,-107.58767029365595,514.9218419830613,-92.55792497647121,NELSEN
2253.913116885793,526.389595630998,716.9874910581348,-544.4889802877879,-183.15429734324061,-229.60920591237618,263.13283330935246,-111.58767029365595,522.9218419830613,-105.55792497647121,NELSEN
2327.913116885793,533.389595630998,788.9874910581348,-562.4889802877879,-185.15429734324061,-241.60920591237618,273.13283330935246,-113.58767029365595,551.9218419830613,-102.55792497647121,NELSEN
2400.913116885793,549.389595630998,770.9874910581348,-599.4889802877879,-180.15429734324061,-250.60920591237618,273.13283330935246,-115.58767029365595,570.9218419830613,-100.55792497647121,NELSEN
2521.913116885793,576.389595630998,808.9874910581348,-641.4889802877879,-173.15429734324061,-254.60920591237618,294.13283330935246,-121.58767029365595,593.9218419830613,-119.55792497647121,NELSEN
2576.913116885793,592.389595630998,868.9874910581348,-657.4889802877879,-172.15429734324061,-263.6092059123762,279.13283330935246,-116.58767029365595,611.9218419830613,-110.55792497647121,NELSEN
2695.913116885793,613.389595630998,979.9874910581348,-692.4889802877879,-168.15429734324061,-269.6092059123762,285.13283330935246,-113.58767029365595,629.9218419830613,-109.55792497647121,NELSEN
