OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
6.355607163179229,0.8318766966285693,-13.488773332290293,-17.88689082500514,-2.1853921459423873,-2.7115210045317326,9.065469790527459,-0.19676437072848785,8.346724106147121,-11.176828371872489,POTASSIUM_NITRATE
52.35560716317923,11.83187669662857,7.511226667709707,-29.88689082500514,8.814607854057613,-5.711521004531733,10.065469790527459,-2.196764370728488,8.346724106147121,-1.1768283718724888,POTASSIUM_NITRATE
57.35560716317923,13.83187669662857,24.511226667709707,-29.88689082500514,18.814607854057613,-13.711521004531733,11.065469790527459,-5.196764370728488,16.34672410614712,-6.176828371872489,POTASSIUM_NITRATE
104.35560716317923,40.83187669662857,90.5112266677097,-46.88689082500514,28.814607854057613,-34.71152100453173,33.06546979052746,-15.196764370728488,64.34672410614712,-33.17682837187249,POTASSIUM_NITRATE
394.35560716317923,99.83187669662857,214.5112266677097,-121.88689082500514,32.81460785405761,-43.71152100453173,63.06546979052746,-28.196764370728488,82.34672410614712,-37.17682837187249,POTASSIUM_NITRATE
434.35560716317923,109.83187669662857,231.5112266677097,-124.88689082500514,39.81460785405761,-42.71152100453173,59.06546979052746,-33.19676437072849,80.34672410614712,-43.17682837187249,POTASSIUM_NITRATE
446.35560716317923,108.83187669662857,317.5112266677097,-86.88689082500514,40.81460785405761,-40.71152100453173,64.06546979052746,-32.19676437072849,78.34672410614712,-48.17682837187249,POTASSIUM_NITRATE
553.3556071631792,177.83187669662857,391.5112266677097,-156.88689082500514,76.81460785405761,-69.71152100453173,106.06546979052746,-49.19676437072849,134.34672410614712,-75.17682837187249,POTASSIUM_NITRATE
750.3556071631792,181.83187669662857,453.5112266677097,-197.88689082500514,67.81460785405761,-69.71152100453173,108.06546979052746,-54.19676437072849,137.34672410614712,-76.17682837187249,POTASSIUM_NITRATE
785.3556071631792,184.83187669662857,410.5112266677097,-226.88689082500514,73.81460785405761,-68.71152100453173,108.06546979052746,-53.19676437072849,134.34672410614712,-73.17682837187249,POTASSIUM_NITRATE
789.3556071631792,184.83187669662857,500.5112266677097,-183.88689082500514,74.81460785405761,-71.71152100453173,117.06546979052746,-52.19676437072849,146.34672410614712,-76.17682837187249,POTASSIUM_NITRATE
875.3556071631792,219.83187669662857,523.5112266677097,-258.88689082500514,87.81460785405761,-87.71152100453173,142.06546979052746,-67.19676437072849,170.34672410614712,-100.17682837187249,POTASSIUM_NITRATE
1009.3556071631792,241.83187669662857,591.5112266677097,-262.88689082500514,91.81460785405761,-93.71152100453173,151.06546979052746,-69.19676437072849,178.34672410614712,-99.17682837187249,POTASSIUM_NITRATE
1038.3556071631792,239.83187669662857,620.5112266677097,-294.88689082500514,103.81460785405761,-110.71152100453173,161.06546979052746,-78.19676437072849,206.34672410614712,-119.17682837187249,POTASSIUM_NITRATE
1228.3556071631792,291.83187669662857,738.5112266677097,-321.88689082500514,111.81460785405761,-107.71152100453173,181.06546979052746,-85.19676437072849,210.34672410614712,-121.17682837187249,POTASSIUM_NITRATE
1250.3556071631792,293.83187669662857,704.5112266677097,-343.88689082500514,112.81460785405761,-111.71152100453173,183.06546979052746,-87.19676437072849,219.34672410614712,-116.17682837187249,POTASSIUM_NITRATE
1277.3556071631792,319.83187669662857,755.5112266677097,-372.88689082500514,143.8146078540576,-148.71152100453173,189.06546979052746,-98.19676437072849,255.34672410614712,-143.1768283718725,POTASSIUM_NITRATE
1493.3556071631792,354.83187669662857,841.5112266677097,-408.88689082500514,136.8146078540576,-134.71152100453173,214.06546979052746,-102.19676437072849,266.3467241061471,-141.1768283718725,POTASSIUM_NITRATE
1537.3556071631792,358.83187669662857,890.5112266677097,-404.88689082500514,139.8146078540576,-132.71152100453173,216.06546979052746,-104.19676437072849,265.3467241061471,-141.1768283718725,POTASSIUM_NITRATE
1551.3556071631792,358.83187669662857,898.5112266677097,-410.88689082500514,144.8146078540576,-140.71152100453173,230.06546979052746,-114.19676437072849,304.3467241061471,-152.1768283718725,POTASSIUM_NITRATE
1725.3556071631792,420.83187669662857,1021.5112266677097,-462.88689082500514,162.8146078540576,-155.71152100453173,251.06546979052746,-123.19676437072849,303.3467241061471,-169.1768283718725,POTASSIUM_NITRATE
1792.3556071631792,420.83187669662857,1049.5112266677097,-460.88689082500514,162.8146078540576,-156.71152100453173,257.06546979052746,-123.19676437072849,310.3467241061471,-170.1768283718725,POTASSIUM_NITRATE
1835.3556071631792,445.83187669662857,1044.5112266677097,-499.88689082500514,175.8146078540576,-165.71152100453173,268.06546979052746,-130.1967643707285,337.3467241061471,-178.1768283718725,POTASSIUM_NITRATE
1947.3556071631792,453.83187669662857,1132.5112266677097,-505.88689082500514,179.8146078540576,-167.71152100453173,276.06546979052746,-132.1967643707285,339.3467241061471,-181.1768283718725,POTASSIUM_NITRATE
1974.3556071631792,456.83187669662857,1093.5112266677097,-536.8868908250051,173.8146078540576,-167.71152100453173,280.06546979052746,-130.1967643707285,334.3467241061471,-190.1768283718725,POTASSIUM_NITRATE
2031.3556071631792,543.8318766966286,1188.5112266677097,-563.8868908250051,194.8146078540576,-196.71152100453173,315.06546979052746,-148.1967643707285,370.3467241061471,-199.1768283718725,POTASSIUM_NITRATE
2184.3556071631792,512.8318766966286,1202.5112266677097,-595.8868908250051,198.8146078540576,-189.71152100453173,316.06546979052746,-144.1967643707285,377.3467241061471,-207.1768283718725,POTASSIUM_NITRATE
2217.3556071631792,513.8318766966286,1206.5112266677097,-597.8868908250051,199.8146078540576,-189.71152100453173,317.06546979052746,-148.1967643707285,387.3467241061471,-209.1768283718725,POTASSIUM_NITRATE
