OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
6.754940030828948,-1.625696007354236,23.56060444789,9.073168020523553,-9.752447182841706,4.455798037379282,-6.571825569033535,-14.787530331229163,2.208512323270952,-0.6493728323418964,FORMIC_ACID
6.754940030828948,0.3743039926457641,40.56060444789,29.073168020523553,-6.752447182841706,4.455798037379282,-10.571825569033535,-16.787530331229163,-5.791487676729048,0.35062716765810364,FORMIC_ACID
10.754940030828948,-0.6256960073542359,36.56060444789,-5.926831979476447,-3.7524471828417063,1.4557980373792816,-0.5718255690335354,-3.7875303312291635,7.208512323270952,0.35062716765810364,FORMIC_ACID
18.754940030828948,5.374303992645764,39.56060444789,-4.926831979476447,-3.7524471828417063,7.455798037379282,-3.5718255690335354,-5.7875303312291635,49.20851232327095,-1.6493728323418964,FORMIC_ACID
50.75494003082895,37.374303992645764,95.56060444789,-28.926831979476447,10.247552817158294,2.4557980373792816,16.428174430966465,-0.7875303312291635,44.20851232327095,-1.6493728323418964,FORMIC_ACID
103.75494003082895,55.374303992645764,159.56060444789,-62.92683197947645,23.247552817158294,-4.544201962620718,20.428174430966465,-8.787530331229163,67.20851232327095,-6.649372832341896,FORMIC_ACID
144.75494003082895,75.37430399264576,204.56060444789,-118.92683197947645,44.247552817158294,-19.54420196262072,23.428174430966465,-19.787530331229163,75.20851232327095,-9.649372832341896,FORMIC_ACID
192.75494003082895,93.37430399264576,307.56060444789,-129.92683197947645,58.247552817158294,-23.54420196262072,31.428174430966465,-15.787530331229163,104.20851232327095,-8.649372832341896,FORMIC_ACID
237.75494003082895,104.37430399264576,297.56060444789,-205.92683197947645,71.2475528171583,-30.54420196262072,24.428174430966465,-30.787530331229163,115.20851232327095,-11.649372832341896,FORMIC_ACID
264.75494003082895,111.37430399264576,338.56060444789,-220.92683197947645,82.2475528171583,-33.54420196262072,31.428174430966465,-35.78753033122916,128.20851232327095,-9.649372832341896,FORMIC_ACID
279.75494003082895,117.37430399264576,362.56060444789,-214.92683197947645,101.2475528171583,-30.54420196262072,48.428174430966465,-14.787530331229163,139.20851232327095,-11.649372832341896,FORMIC_ACID
298.75494003082895,136.37430399264576,376.56060444789,-253.92683197947645,100.2475528171583,-31.54420196262072,50.428174430966465,-16.787530331229163,133.20851232327095,-12.649372832341896,FORMIC_ACID
324.75494003082895,134.37430399264576,485.56060444789,-225.92683197947645,103.2475528171583,-28.54420196262072,54.428174430966465,-21.787530331229163,150.20851232327095,-12.649372832341896,FORMIC_ACID
330.75494003082895,143.37430399264576,449.56060444789,-243.92683197947645,117.2475528171583,-32.54420196262072,49.428174430966465,-26.787530331229163,158.20851232327095,-13.649372832341896,FORMIC_ACID
355.75494003082895,151.37430399264576,448.56060444789,-263.92683197947645,120.2475528171583,-37.54420196262072,56.428174430966465,-21.787530331229163,166.20851232327095,-11.649372832341896,FORMIC_ACID
360.75494003082895,150.37430399264576,476.56060444789,-253.92683197947645,127.2475528171583,-38.54420196262072,66.42817443096646,-17.787530331229163,167.20851232327095,-13.649372832341896,FORMIC_ACID
367.75494003082895,161.37430399264576,464.56060444789,-272.92683197947645,132.2475528171583,-36.54420196262072,68.42817443096646,-22.787530331229163,193.20851232327095,-14.649372832341896,FORMIC_ACID
393.75494003082895,176.37430399264576,552.56060444789,-262.92683197947645,145.2475528171583,-44.54420196262072,79.42817443096646,-9.787530331229163,198.20851232327095,-14.649372832341896,FORMIC_ACID
424.75494003082895,185.37430399264576,547.56060444789,-295.92683197947645,166.2475528171583,-48.54420196262072,82.42817443096646,-23.787530331229163,210.20851232327095,-14.649372832341896,FORMIC_ACID
