OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
-5.910812955506117,1.9445719052910135,-11.659683507925365,5.200787736714119,-0.7972798607565892,-2.7139941256123166,2.127586506525404,0.992781242842284,1.3974873918414232,-1.6433553689212204,NELSEN
-1.9108129555061169,1.9445719052910135,-15.659683507925365,-4.799212263285881,-6.797279860756589,-4.713994125612317,1.1275865065254038,-1.007218757157716,-1.6025126081585768,-2.6433553689212204,NELSEN
1.0891870444938831,0.9445719052910135,17.340316492074635,4.200787736714119,0.2027201392434108,-4.713994125612317,2.127586506525404,-1.007218757157716,1.3974873918414232,-1.6433553689212204,NELSEN
-3.910812955506117,1.9445719052910135,8.340316492074635,0.2007877367141191,-2.797279860756589,-4.713994125612317,-2.872413493474596,-2.007218757157716,3.3974873918414232,-1.6433553689212204,NELSEN
-0.9108129555061169,3.9445719052910135,9.340316492074635,-3.799212263285881,-2.797279860756589,-5.713994125612317,6.127586506525404,3.992781242842284,5.397487391841423,-0.6433553689212204,NELSEN
1.0891870444938831,11.944571905291014,5.340316492074635,-6.799212263285881,1.2027201392434108,-6.713994125612317,10.127586506525404,2.992781242842284,11.397487391841423,-2.6433553689212204,NELSEN
17.089187044493883,16.944571905291014,23.340316492074635,0.2007877367141191,9.20272013924341,-7.713994125612317,15.127586506525404,-3.007218757157716,25.397487391841423,-4.64335536892122,NELSEN
38.08918704449388,27.944571905291014,12.340316492074635,-13.799212263285881,11.20272013924341,-11.713994125612317,32.127586506525404,-5.007218757157716,36.39748739184142,-10.64335536892122,NELSEN
75.08918704449388,49.94457190529101,110.34031649207463,1.200787736714119,7.202720139243411,-18.713994125612317,43.127586506525404,-11.007218757157716,58.39748739184142,-11.64335536892122,NELSEN
138.08918704449388,62.94457190529101,89.34031649207463,-27.79921226328588,6.202720139243411,-23.713994125612317,49.127586506525404,-16.007218757157716,75.39748739184142,-15.64335536892122,NELSEN
194.08918704449388,84.94457190529101,126.34031649207463,-33.79921226328588,0.2027201392434108,-28.713994125612317,70.1275865065254,-22.007218757157716,85.39748739184142,-14.64335536892122,NELSEN
246.08918704449388,99.94457190529101,157.34031649207463,-46.79921226328588,-6.797279860756589,-38.71399412561232,85.1275865065254,-27.007218757157716,98.39748739184142,-16.64335536892122,NELSEN
307.0891870444939,116.94457190529101,166.34031649207463,-75.79921226328588,-17.79727986075659,-48.71399412561232,90.1275865065254,-31.007218757157716,119.39748739184142,-21.64335536892122,NELSEN
455.0891870444939,173.944571905291,251.34031649207463,-113.79921226328588,-13.79727986075659,-58.71399412561232,97.1275865065254,-45.007218757157716,148.39748739184142,-28.64335536892122,NELSEN
542.0891870444939,166.944571905291,234.34031649207463,-158.79921226328588,-28.79727986075659,-70.71399412561232,120.1275865065254,-44.007218757157716,161.39748739184142,-31.64335536892122,NELSEN
592.0891870444939,179.944571905291,279.34031649207463,-146.79921226328588,-31.79727986075659,-72.71399412561232,132.1275865065254,-51.007218757157716,177.39748739184142,-39.64335536892122,NELSEN
642.0891870444939,195.944571905291,289.34031649207463,-157.79921226328588,-44.79727986075659,-81.71399412561232,138.1275865065254,-59.007218757157716,198.39748739184142,-38.64335536892122,NELSEN
681.0891870444939,207.944571905291,260.34031649207463,-186.79921226328588,-47.79727986075659,-82.71399412561232,146.1275865065254,-59.007218757157716,205.39748739184142,-43.64335536892122,NELSEN
749.0891870444939,222.944571905291,261.34031649207463,-211.79921226328588,-50.79727986075659,-85.71399412561232,148.1275865065254,-63.007218757157716,217.39748739184142,-44.64335536892122,NELSEN
985.0891870444939,237.944571905291,358.34031649207463,-279.7992122632859,-58.79727986075659,-91.71399412561232,182.1275865065254,-73.00721875715772,244.39748739184142,-43.64335536892122,NELSEN
1175.0891870444939,253.944571905291,352.34031649207463,-264.7992122632859,-66.79727986075659,-95.71399412561232,174.1275865065254,-66.00721875715772,261.3974873918414,-45.64335536892122,NELSEN
1128.0891870444939,266.944571905291,343.34031649207463,-237.79921226328588,-71.79727986075659,-98.71399412561232,186.1275865065254,-68.00721875715772,276.3974873918414,-44.64335536892122,NELSEN
1129.0891870444939,273.944571905291,350.34031649207463,-230.79921226328588,-82.79727986075659,-104.71399412561232,188.1275865065254,-74.00721875715772,314.3974873918414,-52.64335536892122,NELSEN
1156.0891870444939,294.944571905291,343.34031649207463,-242.79921226328588,-91.79727986075659,-116.71399412561232,190.1275865065254,-80.00721875715772,328.3974873918414,-57.64335536892122,NELSEN
1211.0891870444939,315.944571905291,405.34031649207463,-222.79921226328588,-99.79727986075659,-122.71399412561232,206.1275865065254,-78.00721875715772,348.3974873918414,-58.64335536892122,NELSEN
1270.0891870444939,331.944571905291,445.34031649207463,-216.79921226328588,-93.79727986075659,-125.71399412561232,210.1275865065254,-77.00721875715772,367.3974873918414,-61.64335536892122,NELSEN
1337.0891870444939,352.944571905291,457.34031649207463,-237.79921226328588,-101.79727986075659,-131.71399412561232,236.1275865065254,-77.00721875715772,398.3974873918414,-62.64335536892122,NELSEN
