OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
18.77112374049284,2.8582588956060135,21.425564104734804,-9.312549665944061,-11.303969010989931,4.714221565283879,-7.426744713518929,-0.4918523968522095,-12.80307006806288,-5.849707072640513,FORMIC_ACID
14.77112374049284,0.8582588956060135,21.425564104734804,-20.31254966594406,-9.303969010989931,9.714221565283879,-11.426744713518929,-2.4918523968522095,-0.8030700680628797,-1.8497070726405127,FORMIC_ACID
15.77112374049284,1.8582588956060135,12.425564104734804,-17.31254966594406,-25.30396901098993,14.714221565283879,-5.426744713518929,-3.4918523968522095,-6.80307006806288,-5.849707072640513,FORMIC_ACID
27.77112374049284,10.858258895606014,32.4255641047348,-28.31254966594406,-13.303969010989931,8.714221565283879,7.573255286481071,-21.49185239685221,9.19692993193712,-8.849707072640513,FORMIC_ACID
46.77112374049284,18.858258895606014,41.4255641047348,-39.31254966594406,-2.303969010989931,8.714221565283879,2.5732552864810714,-8.49185239685221,22.19692993193712,-8.849707072640513,FORMIC_ACID
48.77112374049284,18.858258895606014,48.4255641047348,-37.31254966594406,37.69603098901007,3.7142215652838786,-7.426744713518929,-7.4918523968522095,20.19692993193712,-7.849707072640513,FORMIC_ACID
54.77112374049284,49.85825889560601,58.4255641047348,-45.31254966594406,23.69603098901007,1.7142215652838786,3.5732552864810714,-8.49185239685221,26.19692993193712,-5.849707072640513,FORMIC_ACID
84.77112374049284,33.85825889560601,185.4255641047348,-54.31254966594406,32.69603098901007,4.714221565283879,20.57325528648107,-17.49185239685221,46.19692993193712,-5.849707072640513,FORMIC_ACID
143.77112374049284,59.85825889560601,231.4255641047348,-93.31254966594406,54.69603098901007,-1.2857784347161214,80.57325528648107,-38.49185239685221,66.19692993193712,-11.849707072640513,FORMIC_ACID
186.77112374049284,80.85825889560601,265.4255641047348,-103.31254966594406,109.69603098901007,2.7142215652838786,37.57325528648107,-17.49185239685221,86.19692993193712,-8.849707072640513,FORMIC_ACID
200.77112374049284,88.85825889560601,278.4255641047348,-120.31254966594406,136.69603098901007,-5.285778434716121,34.57325528648107,-17.49185239685221,96.19692993193712,-7.849707072640513,FORMIC_ACID
210.77112374049284,94.85825889560601,296.4255641047348,-137.31254966594406,169.69603098901007,-5.285778434716121,33.57325528648107,-20.49185239685221,101.19692993193712,-3.8497070726405127,FORMIC_ACID
218.77112374049284,129.858258895606,317.4255641047348,-140.31254966594406,201.69603098901007,-14.285778434716121,53.57325528648107,-33.49185239685221,152.19692993193712,-8.849707072640513,FORMIC_ACID
287.77112374049284,141.858258895606,423.4255641047348,-171.31254966594406,229.69603098901007,-13.285778434716121,57.57325528648107,-30.49185239685221,138.19692993193712,9.150292927359487,FORMIC_ACID
346.77112374049284,226.858258895606,508.4255641047348,-183.31254966594406,298.69603098901007,-12.285778434716121,106.57325528648107,-43.49185239685221,168.19692993193712,1.1502929273594873,FORMIC_ACID
375.77112374049284,186.858258895606,515.4255641047348,-195.31254966594406,363.69603098901007,-3.2857784347161214,89.57325528648107,-14.49185239685221,206.19692993193712,8.150292927359487,FORMIC_ACID
380.77112374049284,206.858258895606,551.4255641047348,-202.31254966594406,428.69603098901007,-12.285778434716121,82.57325528648107,-18.49185239685221,246.19692993193712,-2.8497070726405127,FORMIC_ACID
399.77112374049284,211.858258895606,552.4255641047348,-212.31254966594406,453.69603098901007,-2.2857784347161214,93.57325528648107,-22.49185239685221,209.19692993193712,10.150292927359487,FORMIC_ACID
447.77112374049284,222.858258895606,608.4255641047348,-238.31254966594406,469.69603098901007,-5.285778434716121,142.57325528648107,-26.49185239685221,341.1969299319371,8.150292927359487,FORMIC_ACID
495.77112374049284,254.858258895606,667.4255641047348,-265.31254966594406,503.69603098901007,-7.285778434716121,166.57325528648107,-17.49185239685221,277.1969299319371,35.15029292735949,FORMIC_ACID
556.7711237404928,283.858258895606,759.4255641047348,-283.31254966594406,576.6960309890101,-26.28577843471612,216.57325528648107,-0.4918523968522095,330.1969299319371,21.150292927359487,FORMIC_ACID
597.7711237404928,353.858258895606,834.4255641047348,-298.31254966594406,685.6960309890101,28.71422156528388,244.57325528648107,52.50814760314779,359.1969299319371,48.15029292735949,FORMIC_ACID
666.7711237404928,344.858258895606,798.4255641047348,-335.31254966594406,662.6960309890101,31.71422156528388,515.5732552864811,-36.49185239685221,551.1969299319371,93.15029292735949,FORMIC_ACID
