OFFCHIP_PLATINUM_78kHz_IN-PHASE,OFFCHIP_GOLD_78kHz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_IN-PHASE,OFFCHIP_PLATINUM_200Hz_QUADRATURE,OFFCHIP_GOLD_200Hz_IN-PHASE,OFFCHIP_GOLD_200Hz_QUADRATURE,OFFCHIP_SILVER_200Hz_IN-PHASE,OFFCHIP_SILVER_200Hz_QUADRATURE,OFFCHIP_NICKEL_200Hz_IN-PHASE,OFFCHIP_NICKEL_200Hz_QUADRATURE,CLASS
-9.070298447999448,-1.0013042378177488,-4.080519122690021,3.2998211082740454,-9.626605338740774,-6.427031916729447,-3.2171558352156353,0.25011328933828736,-4.155057634111472,8.113096949578903,POTASSIUM_NITRATE
-4.070298447999448,0.9986957621822512,-8.08051912269002,-10.700178891725955,57.373394661259226,19.572968083270553,-7.217155835215635,-5.749886710661713,1.844942365888528,-12.886903050421097,POTASSIUM_NITRATE
-6.070298447999448,17.99869576218225,29.91948087730998,-10.700178891725955,9.373394661259226,-38.42703191672945,119.78284416478436,-90.74988671066171,289.8449423658885,-285.8869030504211,POTASSIUM_NITRATE
231.92970155200055,133.99869576218225,319.91948087731,-182.70017889172595,42.373394661259226,-95.42703191672945,256.78284416478436,-65.74988671066171,163.84494236588853,-106.8869030504211,POTASSIUM_NITRATE
446.92970155200055,224.99869576218225,616.91948087731,-214.70017889172595,67.37339466125923,-90.42703191672945,149.78284416478436,-60.74988671066171,157.84494236588853,-98.8869030504211,POTASSIUM_NITRATE
535.9297015520006,235.99869576218225,691.91948087731,-346.70017889172595,95.37339466125923,-133.42703191672945,344.78284416478436,-113.74988671066171,273.8449423658885,-151.8869030504211,POTASSIUM_NITRATE
666.9297015520006,291.99869576218225,724.91948087731,-380.70017889172595,111.37339466125923,-124.42703191672945,250.78284416478436,-75.74988671066171,241.84494236588853,-133.8869030504211,POTASSIUM_NITRATE
755.9297015520006,413.99869576218225,961.91948087731,-421.70017889172595,123.37339466125923,-139.42703191672945,242.78284416478436,-97.74988671066171,256.8449423658885,-148.8869030504211,POTASSIUM_NITRATE
877.9297015520006,369.99869576218225,1009.91948087731,-434.70017889172595,204.37339466125923,-128.42703191672945,275.78284416478436,-118.74988671066171,272.8449423658885,-186.8869030504211,POTASSIUM_NITRATE
921.9297015520006,464.99869576218225,1140.91948087731,-517.700178891726,221.37339466125923,-140.42703191672945,293.78284416478436,-128.7498867106617,289.8449423658885,-205.8869030504211,POTASSIUM_NITRATE
956.9297015520006,434.99869576218225,1186.91948087731,-476.70017889172595,149.37339466125923,-170.42703191672945,306.78284416478436,-131.7498867106617,313.8449423658885,-195.8869030504211,POTASSIUM_NITRATE
1018.9297015520006,514.9986957621823,1226.91948087731,-580.700178891726,167.37339466125923,-185.42703191672945,338.78284416478436,-115.74988671066171,350.8449423658885,-214.8869030504211,POTASSIUM_NITRATE
1094.9297015520006,508.99869576218225,1328.91948087731,-536.700178891726,178.37339466125923,-198.42703191672945,454.78284416478436,-186.7498867106617,731.8449423658885,-342.8869030504211,POTASSIUM_NITRATE
1180.9297015520006,545.9986957621823,1479.91948087731,-549.700178891726,255.37339466125923,-189.42703191672945,388.78284416478436,-166.7498867106617,415.8449423658885,-267.8869030504211,POTASSIUM_NITRATE
1194.9297015520006,573.9986957621823,1432.91948087731,-603.700178891726,208.37339466125923,-214.42703191672945,396.78284416478436,-166.7498867106617,420.8449423658885,-247.8869030504211,POTASSIUM_NITRATE
1271.9297015520006,625.9986957621823,1521.91948087731,-675.700178891726,212.37339466125923,-224.42703191672945,442.78284416478436,-145.7498867106617,439.8449423658885,-252.8869030504211,POTASSIUM_NITRATE
1339.9297015520006,631.9986957621823,1584.91948087731,-665.700178891726,216.37339466125923,-238.42703191672945,427.78284416478436,-181.7498867106617,451.8449423658885,-256.8869030504211,POTASSIUM_NITRATE
1364.9297015520006,625.9986957621823,1579.91948087731,-703.700178891726,297.3733946612592,-218.42703191672945,441.78284416478436,-196.7498867106617,570.8449423658885,-342.8869030504211,POTASSIUM_NITRATE
1469.9297015520006,654.9986957621823,1660.91948087731,-719.700178891726,239.37339466125923,-248.42703191672945,454.78284416478436,-198.7498867106617,490.8449423658885,-288.8869030504211,POTASSIUM_NITRATE
1470.9297015520006,682.9986957621823,1637.91948087731,-761.700178891726,248.37339466125923,-259.42703191672945,487.78284416478436,-178.7498867106617,506.8449423658885,-289.8869030504211,POTASSIUM_NITRATE
1579.9297015520006,743.9986957621823,1904.91948087731,-828.700178891726,261.3733946612592,-278.42703191672945,499.78284416478436,-202.7498867106617,511.8449423658885,-306.8869030504211,POTASSIUM_NITRATE
1596.9297015520006,747.9986957621823,1857.91948087731,-810.700178891726,333.3733946612592,-258.42703191672945,514.7828441647844,-213.7498867106617,527.8449423658885,-331.8869030504211,POTASSIUM_NITRATE
1695.9297015520006,876.9986957621823,1900.91948087731,-855.700178891726,307.3733946612592,-321.42703191672945,536.7828441647844,-233.7498867106617,569.8449423658885,-323.8869030504211,POTASSIUM_NITRATE
1740.9297015520006,818.9986957621823,1943.91948087731,-893.700178891726,296.3733946612592,-311.42703191672945,585.7828441647844,-221.7498867106617,599.8449423658885,-345.8869030504211,POTASSIUM_NITRATE
1778.9297015520006,828.9986957621823,2000.91948087731,-931.700178891726,306.3733946612592,-324.42703191672945,612.7828441647844,-244.7498867106617,612.8449423658885,-351.8869030504211,POTASSIUM_NITRATE
1872.9297015520006,851.9986957621823,2128.91948087731,-924.700178891726,385.3733946612592,-311.42703191672945,610.7828441647844,-257.7498867106617,640.8449423658885,-381.8869030504211,POTASSIUM_NITRATE
1945.9297015520006,983.9986957621823,2198.91948087731,-974.700178891726,411.3733946612592,-325.42703191672945,622.7828441647844,-257.7498867106617,652.8449423658885,-371.8869030504211,POTASSIUM_NITRATE
2001.9297015520006,922.9986957621823,2266.91948087731,-1053.700178891726,465.3733946612592,-445.42703191672945,798.7828441647844,-316.7498867106617,779.8449423658885,-450.8869030504211,POTASSIUM_NITRATE
2209.9297015520006,952.9986957621823,2389.91948087731,-1071.700178891726,358.3733946612592,-364.42703191672945,709.7828441647844,-262.7498867106617,728.8449423658885,-411.8869030504211,POTASSIUM_NITRATE
2184.9297015520006,983.9986957621823,2402.91948087731,-1075.700178891726,355.3733946612592,-371.42703191672945,709.7828441647844,-251.7498867106617,740.8449423658885,-411.8869030504211,POTASSIUM_NITRATE
2227.9297015520006,1018.9986957621823,2510.91948087731,-1103.700178891726,363.3733946612592,-382.42703191672945,732.7828441647844,-253.7498867106617,762.8449423658885,-418.8869030504211,POTASSIUM_NITRATE
2292.9297015520006,1042.9986957621823,2571.91948087731,-1108.700178891726,372.3733946612592,-391.42703191672945,729.7828441647844,-288.7498867106617,768.8449423658885,-424.8869030504211,POTASSIUM_NITRATE
2308.9297015520006,1085.9986957621823,2719.91948087731,-1087.700178891726,484.3733946612592,-401.42703191672945,785.7828441647844,-314.7498867106617,782.8449423658885,-457.8869030504211,POTASSIUM_NITRATE
2429.9297015520006,1080.9986957621823,2727.91948087731,-1143.700178891726,397.3733946612592,-413.42703191672945,771.7828441647844,-313.7498867106617,797.8449423658885,-457.8869030504211,POTASSIUM_NITRATE
2456.9297015520006,1093.9986957621823,2701.91948087731,-1186.700178891726,401.3733946612592,-412.42703191672945,863.7828441647844,-317.7498867106617,849.8449423658885,-478.8869030504211,POTASSIUM_NITRATE
2509.9297015520006,1115.9986957621823,2826.91948087731,-1174.700178891726,417.3733946612592,-421.42703191672945,793.7828441647844,-321.7498867106617,847.8449423658885,-465.8869030504211,POTASSIUM_NITRATE
2581.9297015520006,1192.9986957621823,3165.91948087731,-1337.700178891726,529.3733946612592,-432.42703191672945,812.7828441647844,-336.7498867106617,851.8449423658885,-504.8869030504211,POTASSIUM_NITRATE
2853.9297015520006,1207.9986957621823,3163.91948087731,-1286.700178891726,450.3733946612592,-457.42703191672945,856.7828441647844,-354.7498867106617,910.8449423658885,-501.8869030504211,POTASSIUM_NITRATE
2843.9297015520006,1224.9986957621823,3075.91948087731,-1347.700178891726,446.3733946612592,-515.4270319167294,997.7828441647844,-377.7498867106617,1001.8449423658885,-555.8869030504211,POTASSIUM_NITRATE
3018.9297015520006,1269.9986957621823,3310.91948087731,-1393.700178891726,461.3733946612592,-476.42703191672945,897.7828441647844,-374.7498867106617,962.8449423658885,-538.8869030504211,POTASSIUM_NITRATE
3036.9297015520006,1290.9986957621823,3348.91948087731,-1375.700178891726,469.3733946612592,-484.42703191672945,904.7828441647844,-376.7498867106617,943.8449423658885,-531.8869030504211,POTASSIUM_NITRATE
3078.9297015520006,1345.9986957621823,3381.91948087731,-1424.700178891726,494.3733946612592,-496.42703191672945,929.7828441647844,-378.7498867106617,983.8449423658885,-531.8869030504211,POTASSIUM_NITRATE
3118.9297015520006,1358.9986957621823,3361.91948087731,-1428.700178891726,573.3733946612592,-476.42703191672945,954.7828441647844,-382.7498867106617,1159.8449423658885,-713.8869030504211,POTASSIUM_NITRATE
3302.9297015520006,1379.9986957621823,3567.91948087731,-1486.700178891726,587.3733946612592,-492.42703191672945,972.7828441647844,-404.7498867106617,1041.8449423658885,-574.8869030504211,POTASSIUM_NITRATE
3297.9297015520006,1406.9986957621823,3520.91948087731,-1485.700178891726,515.3733946612592,-521.4270319167294,980.7828441647844,-407.7498867106617,1026.8449423658885,-574.8869030504211,POTASSIUM_NITRATE
3579.9297015520006,1443.9986957621823,3729.91948087731,-1568.700178891726,542.3733946612592,-540.4270319167294,1026.7828441647844,-384.7498867106617,1051.8449423658885,-582.8869030504211,POTASSIUM_NITRATE
3480.9297015520006,1459.9986957621823,3702.91948087731,-1530.700178891726,535.3733946612592,-543.4270319167294,1026.7828441647844,-421.7498867106617,1080.8449423658885,-593.8869030504211,POTASSIUM_NITRATE
3574.9297015520006,1667.9986957621823,3876.91948087731,-1583.700178891726,647.3733946612592,-541.4270319167294,1041.7828441647844,-432.7498867106617,1095.8449423658885,-626.8869030504211,POTASSIUM_NITRATE
3644.9297015520006,1567.9986957621823,3935.91948087731,-1573.700178891726,651.3733946612592,-557.4270319167294,1082.7828441647844,-450.7498867106617,1135.8449423658885,-645.8869030504211,POTASSIUM_NITRATE
3705.9297015520006,1658.9986957621823,3891.91948087731,-1639.700178891726,597.3733946612592,-593.4270319167294,1093.7828441647844,-459.7498867106617,1161.8449423658885,-642.8869030504211,POTASSIUM_NITRATE
3754.9297015520006,1608.9986957621823,3912.91948087731,-1634.700178891726,592.3733946612592,-589.4270319167294,1112.7828441647844,-469.7498867106617,1190.8449423658885,-641.8869030504211,POTASSIUM_NITRATE
3839.9297015520006,1630.9986957621823,3969.91948087731,-1654.700178891726,598.3733946612592,-607.4270319167294,1158.7828441647844,-444.7498867106617,1207.8449423658885,-662.8869030504211,POTASSIUM_NITRATE
3897.9297015520006,1663.9986957621823,4019.91948087731,-1693.700178891726,598.3733946612592,-618.4270319167294,1181.7828441647844,-443.7498867106617,1227.8449423658885,-669.8869030504211,POTASSIUM_NITRATE
4006.9297015520006,1847.9986957621823,4230.91948087731,-1635.700178891726,627.3733946612592,-646.4270319167294,1204.7828441647844,-487.7498867106617,1256.8449423658885,-688.8869030504211,POTASSIUM_NITRATE
4092.9297015520006,1715.9986957621823,4293.91948087731,-1679.700178891726,614.3733946612592,-645.4270319167294,1212.7828441647844,-491.7498867106617,1277.8449423658885,-689.8869030504211,POTASSIUM_NITRATE
4118.929701552001,1722.9986957621823,4276.91948087731,-1759.700178891726,727.3733946612592,-629.4270319167294,1257.7828441647844,-499.7498867106617,1266.8449423658885,-715.8869030504211,POTASSIUM_NITRATE
4214.929701552001,1778.9986957621823,4419.91948087731,-1701.700178891726,670.3733946612592,-657.4270319167294,1252.7828441647844,-515.7498867106617,1324.8449423658885,-722.8869030504211,POTASSIUM_NITRATE
4410.929701552001,2023.9986957621823,4535.91948087731,-1787.700178891726,710.3733946612592,-707.4270319167294,1259.7828441647844,-526.7498867106617,1351.8449423658885,-717.8869030504211,POTASSIUM_NITRATE
4561.929701552001,1890.9986957621823,4579.91948087731,-1838.700178891726,691.3733946612592,-691.4270319167294,1300.7828441647844,-543.7498867106617,1382.8449423658885,-748.8869030504211,POTASSIUM_NITRATE
4632.929701552001,2011.9986957621823,4599.91948087731,-1868.700178891726,707.3733946612592,-721.4270319167294,1351.7828441647844,-522.7498867106617,1420.8449423658885,-762.8869030504211,POTASSIUM_NITRATE
4661.929701552001,1930.9986957621823,4691.91948087731,-1847.700178891726,714.3733946612592,-714.4270319167294,1347.7828441647844,-553.7498867106617,1426.8449423658885,-771.8869030504211,POTASSIUM_NITRATE
4691.929701552001,2019.9986957621823,4702.91948087731,-1865.700178891726,732.3733946612592,-751.4270319167294,1376.7828441647844,-574.7498867106617,1472.8449423658885,-783.8869030504211,POTASSIUM_NITRATE
4866.929701552001,1969.9986957621823,4754.91948087731,-1907.700178891726,811.3733946612592,-716.4270319167294,1395.7828441647844,-563.7498867106617,1462.8449423658885,-810.8869030504211,POTASSIUM_NITRATE
4943.929701552001,2146.9986957621823,4844.91948087731,-1945.700178891726,778.3733946612592,-773.4270319167294,1409.7828441647844,-583.7498867106617,1517.8449423658885,-801.8869030504211,POTASSIUM_NITRATE
5029.929701552001,2052.9986957621823,4949.91948087731,-1940.700178891726,764.3733946612592,-758.4270319167294,1439.7828441647844,-592.7498867106617,1522.8449423658885,-820.8869030504211,POTASSIUM_NITRATE
5066.929701552001,2059.9986957621823,4909.91948087731,-1949.700178891726,755.3733946612592,-764.4270319167294,1439.7828441647844,-599.7498867106617,1536.8449423658885,-802.8869030504211,POTASSIUM_NITRATE
5088.929701552001,2063.9986957621823,4909.91948087731,-1937.700178891726,778.3733946612592,-787.4270319167294,1510.7828441647844,-579.7498867106617,1557.8449423658885,-825.8869030504211,POTASSIUM_NITRATE
5185.929701552001,2081.9986957621823,4904.91948087731,-1990.700178891726,773.3733946612592,-780.4270319167294,1632.7828441647844,-647.7498867106617,1713.8449423658885,-906.8869030504211,POTASSIUM_NITRATE
5262.929701552001,2128.9986957621823,5032.91948087731,-1985.700178891726,782.3733946612592,-803.4270319167294,1518.7828441647844,-609.7498867106617,1604.8449423658885,-848.8869030504211,POTASSIUM_NITRATE
5310.929701552001,2148.9986957621823,5116.91948087731,-1985.700178891726,794.3733946612592,-836.4270319167294,1602.7828441647844,-637.7498867106617,1623.8449423658885,-862.8869030504211,POTASSIUM_NITRATE
5416.929701552001,2161.9986957621823,5121.91948087731,-2020.700178891726,787.3733946612592,-812.4270319167294,1532.7828441647844,-614.7498867106617,1624.8449423658885,-869.8869030504211,POTASSIUM_NITRATE
5498.929701552001,2268.9986957621823,5218.91948087731,-2038.700178891726,821.3733946612592,-823.4270319167294,1549.7828441647844,-623.7498867106617,1632.8449423658885,-874.8869030504211,POTASSIUM_NITRATE
5566.929701552001,2241.9986957621823,5202.91948087731,-2053.700178891726,815.3733946612592,-829.4270319167294,1572.7828441647844,-631.7498867106617,1661.8449423658885,-884.8869030504211,POTASSIUM_NITRATE
5583.929701552001,2413.9986957621823,5277.91948087731,-2075.700178891726,830.3733946612592,-845.4270319167294,1587.7828441647844,-636.7498867106617,1672.8449423658885,-896.8869030504211,POTASSIUM_NITRATE
5819.929701552001,2288.9986957621823,5320.91948087731,-2092.700178891726,845.3733946612592,-847.4270319167294,1608.7828441647844,-643.7498867106617,1692.8449423658885,-912.8869030504211,POTASSIUM_NITRATE
5907.929701552001,2299.9986957621823,5431.91948087731,-2055.700178891726,838.3733946612592,-853.4270319167294,1626.7828441647844,-638.7498867106617,1696.8449423658885,-919.8869030504211,POTASSIUM_NITRATE
5875.929701552001,2320.9986957621823,5429.91948087731,-2062.700178891726,855.3733946612592,-857.4270319167294,1628.7828441647844,-645.7498867106617,1722.8449423658885,-925.8869030504211,POTASSIUM_NITRATE
5940.929701552001,2373.9986957621823,5500.91948087731,-2112.700178891726,866.3733946612592,-876.4270319167294,1654.7828441647844,-660.7498867106617,1752.8449423658885,-930.8869030504211,POTASSIUM_NITRATE
5996.929701552001,2391.9986957621823,5561.91948087731,-2052.700178891726,874.3733946612592,-881.4270319167294,1667.7828441647844,-673.7498867106617,1775.8449423658885,-936.8869030504211,POTASSIUM_NITRATE
